symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
AACG,NASDAQ,0.01,48.6,2.0577,45078,92757,0.082,0.1102,11,1/7/2019,1/11/2019
AAL,NASDAQ,0.01,3.46,28.8957,7252171,209556558,0.6933,0.8753,88,1/7/2019,1/11/2019
AAME,NASDAQ,0.01,40.17,2.4895,2231,5554,0.0882,0.0927,9,1/7/2019,1/11/2019
AAOI,NASDAQ,0.01,9.91,10.0888,541230,5460361,0.3595,0.5095,51,1/7/2019,1/11/2019
AAON,NASDAQ,0.01,2.08,47.9762,140407,6736194,1.1045,1.5085,151,1/7/2019,1/11/2019
AAPL,NASDAQ,0.01,0.46,216.2066,26495171,5728430838,3.3911,3.7907,379,1/7/2019,1/11/2019
AAWW,NASDAQ,0.01,3.35,29.8751,480276,14348294,1.5577,1.4221,142,1/7/2019,1/11/2019
AAXJ,NASDAQ,0.01,1.49,67.2455,1273235,85619324,0.6337,0.526,53,1/7/2019,1/11/2019
AAXN,NASDAQ,0.01,1.66,60.4165,686802,41494173,1.6781,1.9692,197,1/7/2019,1/11/2019
ABCB,NASDAQ,0.01,2.59,38.6084,429422,16579296,0.6708,0.9126,91,1/7/2019,1/11/2019
ABEO,NASDAQ,0.01,35.72,2.7997,956292,2677331,0.2122,0.2544,25,1/7/2019,1/11/2019
ABIO,NASDAQ,0.01,17,5.8824,71035,417856,0.2375,0.3937,39,1/7/2019,1/11/2019
ABMD,NASDAQ,0.01,0.49,204.48,619507,126676791,9.386,7.0864,709,1/7/2019,1/11/2019
ABTX,NASDAQ,0.01,3.01,33.2231,191650,6367207,0.6074,0.7859,79,1/7/2019,1/11/2019
ABUS,NASDAQ,0.01,65.59,1.5247,378814,577578,0.1027,0.1273,13,1/7/2019,1/11/2019
ACAD,NASDAQ,0.01,3.03,33.0473,1967528,65021488,1.9747,1.5641,156,1/7/2019,1/11/2019
ACAM,NASDAQ,0.01,10.16,9.8404,91320,898625,0.0301,0.012,1,1/7/2019,1/11/2019
